,project,keyword,file
0,integrated spice modeling/simulation of circuits in schematic for responsive analysis,circuit element,./reports_doc/1.pdf
1,integrated spice modeling/simulation of circuits in schematic for responsive analysis,circuit simulation,./reports_doc/1.pdf
2,integrated spice modeling/simulation of circuits in schematic for responsive analysis,circuit spice,./reports_doc/1.pdf
3,integrated spice modeling/simulation of circuits in schematic for responsive analysis,component library,./reports_doc/1.pdf
4,integrated spice modeling/simulation of circuits in schematic for responsive analysis,current source,./reports_doc/1.pdf
5,integrated spice modeling/simulation of circuits in schematic for responsive analysis,dsch spice,./reports_doc/1.pdf
6,integrated spice modeling/simulation of circuits in schematic for responsive analysis,editor simulator,./reports_doc/1.pdf
7,integrated spice modeling/simulation of circuits in schematic for responsive analysis,electronic automation,./reports_doc/1.pdf
8,integrated spice modeling/simulation of circuits in schematic for responsive analysis,generate spice,./reports_doc/1.pdf
9,integrated spice modeling/simulation of circuits in schematic for responsive analysis,hrishikesh raut,./reports_doc/1.pdf
10,integrated spice modeling/simulation of circuits in schematic for responsive analysis,integrated circuit,./reports_doc/1.pdf
11,integrated spice modeling/simulation of circuits in schematic for responsive analysis,logic circuit,./reports_doc/1.pdf
12,integrated spice modeling/simulation of circuits in schematic for responsive analysis,mitesh rane,./reports_doc/1.pdf
13,integrated spice modeling/simulation of circuits in schematic for responsive analysis,mitesh rane hrishikesh,./reports_doc/1.pdf
14,integrated spice modeling/simulation of circuits in schematic for responsive analysis,poorswani mitesh,./reports_doc/1.pdf
15,integrated spice modeling/simulation of circuits in schematic for responsive analysis,poorswani mitesh rane,./reports_doc/1.pdf
16,integrated spice modeling/simulation of circuits in schematic for responsive analysis,prentice hall,./reports_doc/1.pdf
17,integrated spice modeling/simulation of circuits in schematic for responsive analysis,rad studio,./reports_doc/1.pdf
18,integrated spice modeling/simulation of circuits in schematic for responsive analysis,rad studio ide,./reports_doc/1.pdf
19,integrated spice modeling/simulation of circuits in schematic for responsive analysis,rane hrishikesh,./reports_doc/1.pdf
20,integrated spice modeling/simulation of circuits in schematic for responsive analysis,rane hrishikesh raut,./reports_doc/1.pdf
21,integrated spice modeling/simulation of circuits in schematic for responsive analysis,resistor capacitor,./reports_doc/1.pdf
22,integrated spice modeling/simulation of circuits in schematic for responsive analysis,spice file,./reports_doc/1.pdf
23,integrated spice modeling/simulation of circuits in schematic for responsive analysis,step increment,./reports_doc/1.pdf
24,integrated spice modeling/simulation of circuits in schematic for responsive analysis,studio ide,./reports_doc/1.pdf
25,integrated spice modeling/simulation of circuits in schematic for responsive analysis,verilog file,./reports_doc/1.pdf
26,integrated spice modeling/simulation of circuits in schematic for responsive analysis,winspice dsch,./reports_doc/1.pdf
27,secure online payment system using data hiding technique,access control,./reports_doc/102.pdf
28,secure online payment system using data hiding technique,basic steganography,./reports_doc/102.pdf
29,secure online payment system using data hiding technique,bit error,./reports_doc/102.pdf
30,secure online payment system using data hiding technique,bit error ratio,./reports_doc/102.pdf
31,secure online payment system using data hiding technique,block mfcc,./reports_doc/102.pdf
32,secure online payment system using data hiding technique,block mfcc processor,./reports_doc/102.pdf
33,secure online payment system using data hiding technique,capacity correlation,./reports_doc/102.pdf
34,secure online payment system using data hiding technique,consumer payment,./reports_doc/102.pdf
35,secure online payment system using data hiding technique,cover image,./reports_doc/102.pdf
36,secure online payment system using data hiding technique,digital image,./reports_doc/102.pdf
37,secure online payment system using data hiding technique,discrete wavelet,./reports_doc/102.pdf
38,secure online payment system using data hiding technique,discrete wavelet transform,./reports_doc/102.pdf
39,secure online payment system using data hiding technique,electronics telecommunication,./reports_doc/102.pdf
40,secure online payment system using data hiding technique,encrypted image,./reports_doc/102.pdf
41,secure online payment system using data hiding technique,encrypted image generation,./reports_doc/102.pdf
42,secure online payment system using data hiding technique,error ratio,./reports_doc/102.pdf
43,secure online payment system using data hiding technique,gaussian noise,./reports_doc/102.pdf
44,secure online payment system using data hiding technique,green blue,./reports_doc/102.pdf
45,secure online payment system using data hiding technique,hiding technique,./reports_doc/102.pdf
46,secure online payment system using data hiding technique,image cover,./reports_doc/102.pdf
47,secure online payment system using data hiding technique,image generation,./reports_doc/102.pdf
48,secure online payment system using data hiding technique,image image,./reports_doc/102.pdf
49,secure online payment system using data hiding technique,image image image,./reports_doc/102.pdf
50,secure online payment system using data hiding technique,image image intensity,./reports_doc/102.pdf
51,secure online payment system using data hiding technique,image intensity,./reports_doc/102.pdf
52,secure online payment system using data hiding technique,image multiplying,./reports_doc/102.pdf
53,secure online payment system using data hiding technique,image multiplying factor,./reports_doc/102.pdf
54,secure online payment system using data hiding technique,image processing,./reports_doc/102.pdf
55,secure online payment system using data hiding technique,image steganography,./reports_doc/102.pdf
56,secure online payment system using data hiding technique,image thumbprint,./reports_doc/102.pdf
57,secure online payment system using data hiding technique,imageimage output,./reports_doc/102.pdf
58,secure online payment system using data hiding technique,international journal,./reports_doc/102.pdf
59,secure online payment system using data hiding technique,international journal science,./reports_doc/102.pdf
60,secure online payment system using data hiding technique,journal science,./reports_doc/102.pdf
61,secure online payment system using data hiding technique,merchant bank,./reports_doc/102.pdf
62,secure online payment system using data hiding technique,mfcc processor,./reports_doc/102.pdf
63,secure online payment system using data hiding technique,multiplying factor,./reports_doc/102.pdf
64,secure online payment system using data hiding technique,noise wa,./reports_doc/102.pdf
65,secure online payment system using data hiding technique,noise wa stego,./reports_doc/102.pdf
66,secure online payment system using data hiding technique,noisy stego,./reports_doc/102.pdf
67,secure online payment system using data hiding technique,noisy stego image,./reports_doc/102.pdf
68,secure online payment system using data hiding technique,number bit,./reports_doc/102.pdf
69,secure online payment system using data hiding technique,online payment,./reports_doc/102.pdf
70,secure online payment system using data hiding technique,online payment hiding,./reports_doc/102.pdf
71,secure online payment system using data hiding technique,online transaction,./reports_doc/102.pdf
72,secure online payment system using data hiding technique,output cover,./reports_doc/102.pdf
73,secure online payment system using data hiding technique,payment hiding,./reports_doc/102.pdf
74,secure online payment system using data hiding technique,payment hiding technique,./reports_doc/102.pdf
75,secure online payment system using data hiding technique,payment portal,./reports_doc/102.pdf
76,secure online payment system using data hiding technique,proposed method,./reports_doc/102.pdf
77,secure online payment system using data hiding technique,red channel,./reports_doc/102.pdf
78,secure online payment system using data hiding technique,red plane,./reports_doc/102.pdf
79,secure online payment system using data hiding technique,ridge ridge,./reports_doc/102.pdf
80,secure online payment system using data hiding technique,salt pepper,./reports_doc/102.pdf
81,secure online payment system using data hiding technique,secret image,./reports_doc/102.pdf
82,secure online payment system using data hiding technique,short ridge,./reports_doc/102.pdf
83,secure online payment system using data hiding technique,single ridge,./reports_doc/102.pdf
84,secure online payment system using data hiding technique,speckle noise,./reports_doc/102.pdf
85,secure online payment system using data hiding technique,speech recognition,./reports_doc/102.pdf
86,secure online payment system using data hiding technique,steganography steganography,./reports_doc/102.pdf
87,secure online payment system using data hiding technique,steganography technique,./reports_doc/102.pdf
88,secure online payment system using data hiding technique,stego image,./reports_doc/102.pdf
89,secure online payment system using data hiding technique,stego image intensity,./reports_doc/102.pdf
90,secure online payment system using data hiding technique,thumbprint recognition,./reports_doc/102.pdf
91,secure online payment system using data hiding technique,transfer fund,./reports_doc/102.pdf
92,secure online payment system using data hiding technique,unauthorized access,./reports_doc/102.pdf
93,secure online payment system using data hiding technique,vector quantization,./reports_doc/102.pdf
94,secure online payment system using data hiding technique,voice recognition,./reports_doc/102.pdf
95,secure online payment system using data hiding technique,voice sample,./reports_doc/102.pdf
96,secure online payment system using data hiding technique,volume issue,./reports_doc/102.pdf
97,secure online payment system using data hiding technique,wa stego,./reports_doc/102.pdf
98,secure online payment system using data hiding technique,wa stego image,./reports_doc/102.pdf
99,secure online payment system using data hiding technique,wav midi,./reports_doc/102.pdf
100,secure online payment system using data hiding technique,wavelet transform,./reports_doc/102.pdf
101,secure online payment system using data hiding technique,wavelet transformation,./reports_doc/102.pdf
102,face detection and recognisation based attendance system,affine transformation,./reports_doc/103.pdf
103,face detection and recognisation based attendance system,based attendance,./reports_doc/103.pdf
104,face detection and recognisation based attendance system,capture image,./reports_doc/103.pdf
105,face detection and recognisation based attendance system,centre point,./reports_doc/103.pdf
106,face detection and recognisation based attendance system,centre point mouth,./reports_doc/103.pdf
107,face detection and recognisation based attendance system,class attendance,./reports_doc/103.pdf
108,face detection and recognisation based attendance system,detected face,./reports_doc/103.pdf
109,face detection and recognisation based attendance system,detection recognition,./reports_doc/103.pdf
110,face detection and recognisation based attendance system,electronics telecommunication,./reports_doc/103.pdf
111,face detection and recognisation based attendance system,face detection,./reports_doc/103.pdf
112,face detection and recognisation based attendance system,face detection recognition,./reports_doc/103.pdf
113,face detection and recognisation based attendance system,face image,./reports_doc/103.pdf
114,face detection and recognisation based attendance system,face recognition,./reports_doc/103.pdf
115,face detection and recognisation based attendance system,image face,./reports_doc/103.pdf
116,face detection and recognisation based attendance system,kajal kamble,./reports_doc/103.pdf
117,face detection and recognisation based attendance system,kajal kamble puja,./reports_doc/103.pdf
118,face detection and recognisation based attendance system,kamble puja,./reports_doc/103.pdf
119,face detection and recognisation based attendance system,pl pr,./reports_doc/103.pdf
120,face detection and recognisation based attendance system,point mouth,./reports_doc/103.pdf
121,face detection and recognisation based attendance system,row column,./reports_doc/103.pdf
122,face detection and recognisation based attendance system,tanmayi deshmukh,./reports_doc/103.pdf
123,3d image scanner,composite matrix,./reports_doc/18.pdf
124,3d image scanner,electronics telecommunication,./reports_doc/18.pdf
125,3d image scanner,laser scanning,./reports_doc/18.pdf
126,3d image scanner,mode power,./reports_doc/18.pdf
127,3d image scanner,mode power supply,./reports_doc/18.pdf
128,3d image scanner,nangare akshay,./reports_doc/18.pdf
129,3d image scanner,neutral density,./reports_doc/18.pdf
130,3d image scanner,object surface,./reports_doc/18.pdf
131,3d image scanner,point cloud,./reports_doc/18.pdf
132,3d image scanner,power supply,./reports_doc/18.pdf
133,3d image scanner,raspberry pi,./reports_doc/18.pdf
134,3d image scanner,vessel point,./reports_doc/18.pdf
135,3d image scanner,video camera,./reports_doc/18.pdf
136,attendance management system using face recognition,attendance sheet,./reports_doc/22.pdf
137,attendance management system using face recognition,average face,./reports_doc/22.pdf
138,attendance management system using face recognition,based eigenfaces,./reports_doc/22.pdf
139,attendance management system using face recognition,class attendance,./reports_doc/22.pdf
140,attendance management system using face recognition,classifier adaboost,./reports_doc/22.pdf
141,attendance management system using face recognition,column vector,./reports_doc/22.pdf
142,attendance management system using face recognition,covariance matrix,./reports_doc/22.pdf
143,attendance management system using face recognition,database face,./reports_doc/22.pdf
144,attendance management system using face recognition,detected face,./reports_doc/22.pdf
145,attendance management system using face recognition,detection face,./reports_doc/22.pdf
146,attendance management system using face recognition,detection recognition,./reports_doc/22.pdf
147,attendance management system using face recognition,devade utkarsha,./reports_doc/22.pdf
148,attendance management system using face recognition,devade utkarsha thombre,./reports_doc/22.pdf
149,attendance management system using face recognition,digital image,./reports_doc/22.pdf
150,attendance management system using face recognition,digital image processing,./reports_doc/22.pdf
151,attendance management system using face recognition,dimensional space,./reports_doc/22.pdf
152,attendance management system using face recognition,eigen face,./reports_doc/22.pdf
153,attendance management system using face recognition,eigenfaces method,./reports_doc/22.pdf
154,attendance management system using face recognition,electronics telecommunication,./reports_doc/22.pdf
155,attendance management system using face recognition,face database,./reports_doc/22.pdf
156,attendance management system using face recognition,face detection,./reports_doc/22.pdf
157,attendance management system using face recognition,face detector,./reports_doc/22.pdf
158,attendance management system using face recognition,face eigenvectors,./reports_doc/22.pdf
159,attendance management system using face recognition,face image,./reports_doc/22.pdf
160,attendance management system using face recognition,face recognition,./reports_doc/22.pdf
161,attendance management system using face recognition,face recognition technique,./reports_doc/22.pdf
162,attendance management system using face recognition,face region,./reports_doc/22.pdf
163,attendance management system using face recognition,face vector,./reports_doc/22.pdf
164,attendance management system using face recognition,facial recognition,./reports_doc/22.pdf
165,attendance management system using face recognition,finger print,./reports_doc/22.pdf
166,attendance management system using face recognition,haar cascade,./reports_doc/22.pdf
167,attendance management system using face recognition,identification verification,./reports_doc/22.pdf
168,attendance management system using face recognition,image face,./reports_doc/22.pdf
169,attendance management system using face recognition,image point,./reports_doc/22.pdf
170,attendance management system using face recognition,image processing,./reports_doc/22.pdf
171,attendance management system using face recognition,image size,./reports_doc/22.pdf
172,attendance management system using face recognition,image training,./reports_doc/22.pdf
173,attendance management system using face recognition,image video,./reports_doc/22.pdf
174,attendance management system using face recognition,input image,./reports_doc/22.pdf
175,attendance management system using face recognition,integral image,./reports_doc/22.pdf
176,attendance management system using face recognition,linear combination,./reports_doc/22.pdf
177,attendance management system using face recognition,lower dimensional,./reports_doc/22.pdf
178,attendance management system using face recognition,pca based,./reports_doc/22.pdf
179,attendance management system using face recognition,pca based eigenfaces,./reports_doc/22.pdf
180,attendance management system using face recognition,pca eigenface,./reports_doc/22.pdf
181,attendance management system using face recognition,real time,./reports_doc/22.pdf
182,attendance management system using face recognition,recognition lieu,./reports_doc/22.pdf
183,attendance management system using face recognition,recognition method,./reports_doc/22.pdf
184,attendance management system using face recognition,recognition technique,./reports_doc/22.pdf
185,attendance management system using face recognition,rectangle group,./reports_doc/22.pdf
186,attendance management system using face recognition,sachit shiyale,./reports_doc/22.pdf
187,attendance management system using face recognition,sirovich kirby,./reports_doc/22.pdf
188,attendance management system using face recognition,step digital,./reports_doc/22.pdf
189,attendance management system using face recognition,step digital image,./reports_doc/22.pdf
190,attendance management system using face recognition,strong classifier,./reports_doc/22.pdf
191,attendance management system using face recognition,strong classifier adaboost,./reports_doc/22.pdf
192,attendance management system using face recognition,thombre sachit,./reports_doc/22.pdf
193,attendance management system using face recognition,thombre sachit shiyale,./reports_doc/22.pdf
194,attendance management system using face recognition,time attendance,./reports_doc/22.pdf
