,project,library,framework,dbs,file
0,integrated spice modeling/simulation of circuits in schematic for responsive analysis,,,,./reports_doc/1.pdf
1,secure online payment system using data hiding technique,,,,./reports_doc/102.pdf
2,face detection and recognisation based attendance system,,,,./reports_doc/103.pdf
3,3d image scanner,,angular,,./reports_doc/18.pdf
4,attendance management system using face recognition,opencv,,,./reports_doc/22.pdf
5,pcb segregation technique of,,,,./reports_doc/24.pdf
6,leaf disease identification and grading of leaves using image processing,,,,./reports_doc/25.pdf
7,smart theaterical light control system,,,,./reports_doc/29.pdf
8,2d to 3d image conversion using machine learning approach to the in the of the for the award of the of of,opencv,,mysql,./reports_doc/2D TO 3D IMAGE CONVERSION USING_MACHINE LEARNING APPROACH.pdf
9,rolling display,,,sqlite,./reports_doc/34.pdf
10,implementation of voice controlled robot manipulator,,,,./reports_doc/35.pdf
11,artistic style transfer,,,,./reports_doc/38.pdf
12,3d image terrain classification using machine learning,scikit-learn scipy numpy,react,sqlite postgresql mysql,./reports_doc/3D-image terrain classification using machine learning_46.pdf
13,image annotation picture to story,tensorflow numpy kera,,,./reports_doc/50.pdf
14,dbms with sql interpreter,,,mysql,./reports_doc/52.pdf
15,automatic breaking system,,angular,,./reports_doc/54.pdf
16,indian sign language recognition,,,,./reports_doc/56.pdf
17,social an event based intelligent information system,,angularjs react backbone.js,sqlite,./reports_doc/76.pdf
18,use of texture analysis operators for facial expression analysis,opencv scipy numpy,django,,./reports_doc/85.pdf
19,legged robot design construction and control of hexapod robot,,angular,,./reports_doc/90.pdf
20,audio production from musical instrument 's video clip,opencv,,,./reports_doc/91.pdf
21,optical character recognition for typewritten english text,,,,./reports_doc/93.pdf
22,puzzle solver,,,,./reports_doc/97.pdf
23,securing your security,,,,./reports_doc/99.pdf
24,cryptosystem for encryption of data using images for key generation to the in the of the for the award of the of of,opencv scipy numpy,,,./reports_doc/A CRYPTOSYSTEM FOR ENCRYPTION OF_DATA USING IMAGES FOR KEY_GENERATION.pdf
25,fast distributed key-value store based on the raft protocol and judy arrays of the of,,react,,./reports_doc/A fast distributed key-value store based on_the RAFT protocol and Judy arrays_37.pdf
